CIK;LatestCompanyName;NameChanged;NameVariants;AllNames
0000027613;DECORATOR INDUSTRIES INC;FALSE;1;DECORATOR INDUSTRIES INC
0000027673;DEERE JOHN CAPITAL CORP;FALSE;1;DEERE JOHN CAPITAL CORP
0000027748;DGT Holdings Corp.;TRUE;2;DEL GLOBAL TECHNOLOGIES CORP | DGT Holdings Corp.
0000027879;DELMARVA POWER & LIGHT CO /DE/;FALSE;1;DELMARVA POWER & LIGHT CO /DE/
0000027904;DELTA AIR LINES, INC.;TRUE;2;DELTA AIR LINES INC /DE/ | DELTA AIR LINES, INC.
0000027960;QSGI INC.;FALSE;1;QSGI INC.
0000027996;DELUXE CORP;FALSE;1;DELUXE CORP
0000028146;HYDRON TECHNOLOGIES INC;FALSE;1;HYDRON TECHNOLOGIES INC
0000028367;Cogo Group, Inc.;FALSE;1;Cogo Group, Inc.
0000028385;DTE Electric Co;TRUE;2;DETROIT EDISON CO | DTE Electric Co
0000028412;COMERICA INC /NEW/;FALSE;1;COMERICA INC /NEW/
0000028561;DEWEY ELECTRONICS CORP;FALSE;1;DEWEY ELECTRONICS CORP
0000028823;DIEBOLD NIXDORF, Inc;TRUE;2;DIEBOLD INC | DIEBOLD NIXDORF, Inc
0000028917;DILLARD'S, INC.;TRUE;2;DILLARD'S, INC. | DILLARDS INC
0000029002;DIODES INC /DEL/;FALSE;1;DIODES INC /DEL/
0000029006;DIONICS INC;FALSE;1;DIONICS INC
0000029071;DISCOVERY OIL LTD;FALSE;1;DISCOVERY OIL LTD
0000029332;DIXIE GROUP INC;FALSE;1;DIXIE GROUP INC
0000029504;OMEGA COMMERCIAL FINANCE CORP;FALSE;1;OMEGA COMMERCIAL FINANCE CORP
0000029534;DOLLAR GENERAL CORP;FALSE;1;DOLLAR GENERAL CORP
0000029644;DONALDSON Co INC;TRUE;2;DONALDSON CO INC | DONALDSON Co INC
0000029669;RR Donnelley & Sons Co;FALSE;1;RR Donnelley & Sons Co
0000029806;CONSTAR INTERNATIONAL INC;FALSE;1;CONSTAR INTERNATIONAL INC
0000029834;Escalera Resources Co.;TRUE;2;DOUBLE EAGLE PETROLEUM CO | Escalera Resources Co.
0000029905;DOVER Corp;TRUE;2;DOVER CORP | DOVER Corp
0000029915;DOW CHEMICAL CO /DE/;FALSE;1;DOW CHEMICAL CO /DE/
0000029952;CHINA CHANGJIANG MINING & NEW ENERGY COMPANY, LTD.;TRUE;2;CHINA CHANGJIANG MINING & NEW ENERGY COMPANY, LTD. | NORTH AMERICAN GAMING & ENTERTAINMENT CORP
0000029989;OMNICOM GROUP INC.;TRUE;2;OMNICOM GROUP INC | OMNICOM GROUP INC.
0000030140;LASERCARD CORP;FALSE;1;LASERCARD CORP
0000030302;ALCO STORES INC;TRUE;2;ALCO STORES INC | DUCKWALL ALCO STORES INC
0000030305;DUCOMMUN INC /DE/;FALSE;1;DUCOMMUN INC /DE/
0000030371;Duke Energy Carolinas, LLC;FALSE;1;Duke Energy Carolinas, LLC
0000030419;DEX ONE Corp;FALSE;1;DEX ONE Corp
0000030554;EIDP, Inc.;TRUE;2;DUPONT E I DE NEMOURS & CO | EIDP, Inc.
0000030625;FLOWSERVE CORP;FALSE;1;FLOWSERVE CORP
0000030697;Wendy's Co;TRUE;2;WENDY'S/ARBY'S GROUP, INC. | Wendy's Co
0000030822;DYNAMICS RESEARCH CORP;FALSE;1;DYNAMICS RESEARCH CORP
0000030828;COBRA ELECTRONICS CORP;FALSE;1;COBRA ELECTRONICS CORP
0000030831;DYNASIL CORP OF AMERICA;FALSE;1;DYNASIL CORP OF AMERICA
0000031107;EASTERN CO;FALSE;1;EASTERN CO
0000031235;EASTMAN KODAK CO;FALSE;1;EASTMAN KODAK CO
0000031277;EATON CORP;FALSE;1;EATON CORP
0000031347;ECHELON CORP;FALSE;1;ECHELON CORP
0000031462;ECOLAB INC.;TRUE;2;ECOLAB INC | ECOLAB INC.
0000031667;EDUCATIONAL DEVELOPMENT CORP;FALSE;1;EDUCATIONAL DEVELOPMENT CORP
0000031704;TWENTY SERVICES INC;FALSE;1;TWENTY SERVICES INC
0000031791;PERKINELMER INC;FALSE;1;PERKINELMER INC
0000031978;EL PASO ELECTRIC CO /TX/;FALSE;1;EL PASO ELECTRIC CO /TX/
0000031986;EL PASO NATURAL GAS CO;FALSE;1;EL PASO NATURAL GAS CO
0000032166;ELECTRO RENT CORP;FALSE;1;ELECTRO RENT CORP
0000032198;EMS TECHNOLOGIES INC;FALSE;1;EMS TECHNOLOGIES INC
0000032567;EMERGE HEALTH INTERNATIONAL INC;TRUE;2;EMERGE HEALTH INTERNATIONAL INC | METWOOD INC
0000032604;EMERSON ELECTRIC CO;FALSE;1;EMERSON ELECTRIC CO
0000032621;EMERSON RADIO CORP;FALSE;1;EMERSON RADIO CORP
0000032689;EMPIRE DISTRICT ELECTRIC CO;FALSE;1;EMPIRE DISTRICT ELECTRIC CO
0000032776;EMPIRE STATE BUILDING ASSOCIATES L.L.C.;FALSE;1;EMPIRE STATE BUILDING ASSOCIATES L.L.C.
