Word;Seq_num;Word Count;Word Proportion;Average Proportion;Std Dev;Doc Count;Negative;Positive;Uncertainty;Litigious;Strong_Modal;Weak_Modal;Constraining;Complexity;Syllables;Source
ABOUTS;185;30;1.17420008730335e-09;1.1215239555161903e-09;3.1748403390614714e-07;27;0;0;0;0;0;0;0;0;2;10K_2018
ABOVE;186;11273915;0.00044126106590835156;0.0003862428055514509;0.0003865360510037368;1012020;0;0;0;0;0;0;0;0;2;12of12inf
ABOVEBOARD;187;9;3.52260026191005e-10;1.7215452832902866e-10;7.040625230507759e-08;9;0;0;0;0;0;0;0;0;3;12of12inf
ABOVEGROUND;188;7255;2.8396072111286013e-07;1.9846040551316494e-07;8.324631489102722e-06;4198;0;0;0;0;0;0;0;0;3;10K_2008
ABOVEMENTIONED;189;7625;2.9844252218960145e-07;3.099364724650241e-07;8.58768261595635e-06;4521;0;0;0;2011;0;0;0;0;4;10K_2010
ABOVES;190;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;2;12of12inf
ABRACADABRA;191;33;1.2916200960336848e-09;7.543859647959846e-10;2.2754536065997152e-07;28;0;0;0;0;0;0;0;0;5;12of12inf
ABRACADABRAS;192;3;1.17420008730335e-10;1.650595410481766e-10;1.1190523189381211e-07;3;0;0;0;0;0;0;0;0;5;12of12inf
ABRADE;193;69;2.700660200797705e-09;2.428814091696791e-09;4.423086004955281e-07;60;0;0;0;0;0;0;0;0;2;12of12inf
ABRADED;194;64;2.5049601862471463e-09;2.291691784796191e-09;5.987367332572903e-07;55;0;0;0;0;0;0;0;0;3;12of12inf
ABRADES;195;7;2.7398002037078165e-10;4.57869519506794e-10;1.9710091128792207e-07;7;0;0;0;0;0;0;0;0;2;12of12inf
ABRADING;196;170;6.6538004947189825e-09;7.348799621778203e-09;1.0437690838718851e-06;91;0;0;0;0;0;0;0;0;3;12of12inf
ABRASION;197;5319;2.0818567547888394e-07;1.9810432105460796e-07;8.242505526217724e-06;2998;0;0;0;0;0;0;0;0;3;12of12inf
ABRASIONS;198;711;2.7828542069089394e-08;2.317696786360572e-08;1.809565832878603e-06;500;0;0;0;0;0;0;0;0;3;12of12inf
ABRASIVE;199;8160;3.193824237465112e-07;3.5536715929875546e-07;1.729652874580207e-05;3102;0;0;0;0;0;0;0;0;3;12of12inf
ABRASIVELY;200;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
